11941.0
27
197301580
31160639
0 1 1 1566 653.0 7 (D 22,1,1) (S 1,1,2) (S 4,2,9) (S 3,2,3) (S 5,3,4) (S 20,10,16) (D 22,1,1)
0 1 2 1362 589.0 6 (D 22,1,1) (S 2,1,8) (S 15,8,18) (S 14,8,9) (S 17,9,19) (D 22,1,1)
0 1 3 1534 300.0 6 (D 22,1,1) (S 6,3,10) (S 28,15,16) (S 30,16,17) (S 31,16,21) (D 22,1,1)
0 1 4 1328 412.0 5 (D 22,1,1) (S 7,4,5) (S 11,6,7) (S 9,5,6) (D 22,1,1)
0 1 5 1407 290.0 5 (D 22,1,1) (S 8,4,11) (S 22,11,17) (S 21,11,12) (D 22,1,1)
0 1 6 1224 271.0 5 (D 22,1,1) (S 10,5,12) (S 23,12,13) (S 24,12,22) (D 22,1,1)
0 1 7 1480 406.0 5 (D 22,1,1) (S 12,6,13) (S 25,13,14) (S 43,22,30) (D 22,1,1)
0 1 8 1421 527.0 6 (D 22,1,1) (S 13,7,14) (S 27,14,24) (S 46,24,32) (S 63,32,41) (D 22,1,1)
0 1 9 1565 508.0 7 (D 22,1,1) (S 16,9,10) (S 18,10,11) (S 19,10,15) (S 29,15,20) (S 39,20,29) (D 22,1,1)
0 1 10 1472 334.0 5 (D 22,1,1) (S 26,13,23) (S 44,23,24) (S 45,23,31) (D 22,1,1)
0 1 11 1442 430.0 5 (D 22,1,1) (S 32,17,21) (S 66,34,35) (S 69,35,44) (D 22,1,1)
0 1 12 1449 494.0 5 (D 22,1,1) (S 33,18,19) (S 34,18,25) (S 36,19,26) (D 22,1,1)
0 1 13 1283 302.0 4 (D 22,1,1) (S 35,19,20) (S 38,20,28) (D 22,1,1)
0 1 14 1514 273.0 5 (D 22,1,1) (S 37,20,21) (S 41,21,29) (S 40,21,22) (D 22,1,1)
0 1 15 645 111.0 3 (D 22,1,1) (S 42,22,23) (D 22,1,1)
0 1 16 1474 477.0 5 (D 22,1,1) (S 47,25,26) (S 50,26,35) (S 52,27,36) (D 22,1,1)
0 1 17 1266 560.0 5 (D 22,1,1) (S 48,25,33) (S 65,33,42) (S 81,42,45) (D 22,1,1)
0 1 18 1562 411.0 5 (D 22,1,1) (S 49,26,27) (S 51,27,28) (S 59,30,39) (D 22,1,1)
0 1 19 1538 535.0 7 (D 22,1,1) (S 53,28,29) (S 57,29,38) (S 56,29,37) (S 70,36,37) (S 72,37,48) (D 22,1,1)
0 1 20 1501 474.0 5 (D 22,1,1) (S 54,28,37) (S 71,37,38) (S 74,38,49) (D 22,1,1)
0 1 21 1534 487.0 6 (D 22,1,1) (S 55,29,30) (S 61,31,40) (S 78,40,51) (S 60,31,32) (D 22,1,1)
0 1 22 1540 537.0 6 (D 22,1,1) (S 58,30,31) (S 62,32,40) (S 77,40,41) (S 79,41,52) (D 22,1,1)
0 1 23 1357 470.0 5 (D 22,1,1) (S 64,33,34) (S 67,34,43) (S 68,35,36) (D 22,1,1)
0 1 24 1475 411.0 5 (D 22,1,1) (S 73,38,39) (S 76,39,50) (S 75,39,40) (D 22,1,1)
0 1 25 1353 560.0 6 (D 22,1,1) (S 80,42,43) (S 83,43,46) (S 82,43,44) (S 84,44,47) (D 22,1,1)
0 1 26 1464 525.0 5 (D 22,1,1) (S 85,45,46) (S 86,46,47) (S 87,47,48) (D 22,1,1)
0 1 27 1332 594.0 6 (D 22,1,1) (S 88,48,49) (S 89,49,50) (S 91,51,52) (S 90,50,51) (D 22,1,1)
