547.0
11
38935960
14059360
0 1 1 25 51.0 6 (D 1,1,1) (S 1,2,2) (S 20,13,15) (S 33,15,20) (S 23,15,17) (D 1,1,1)
0 1 2 23 57.0 6 (D 1,1,1) (S 2,3,3) (S 34,3,4) (S 43,3,8) (S 29,3,6) (D 1,1,1)
0 1 3 26 31.0 6 (D 1,1,1) (S 3,4,4) (S 14,4,10) (S 6,10,10) (S 27,6,10) (D 1,1,1)
0 1 4 21 45.0 6 (D 1,1,1) (S 4,5,5) (S 5,6,6) (S 15,5,9) (S 38,8,9) (D 1,1,1)
0 1 5 26 72.0 9 (D 1,1,1) (S 7,14,14) (S 28,14,20) (S 31,14,21) (S 26,14,18) (S 32,13,14) (S 8,16,16) (S 30,12,13) (D 1,1,1)
0 1 6 25 38.0 6 (D 1,1,1) (S 9,18,18) (S 37,18,25) (S 25,25,26) (S 11,26,26) (D 1,1,1)
0 1 7 20 44.0 5 (D 1,1,1) (S 10,21,21) (S 40,20,21) (S 44,21,25) (D 1,1,1)
0 1 8 27 76.0 8 (D 1,1,1) (S 12,2,1) (S 17,1,15) (S 13,1,27) (S 21,1,24) (S 19,1,17) (S 35,1,19) (D 1,1,1)
0 1 9 26 69.0 6 (D 1,1,1) (S 16,4,6) (S 41,6,9) (S 36,7,11) (S 24,6,7) (D 1,1,1)
0 1 10 21 45.0 6 (D 1,1,1) (S 18,22,23) (S 39,22,25) (S 22,23,26) (S 45,23,24) (D 1,1,1)
0 1 11 9 19.0 3 (D 1,1,1) (S 42,24,27) (D 1,1,1)
