6410.0
12
878121720
694271620
0 1 1 1519 821.0 10 (D 1,1,1) (S 12,3,8) (S 26,13,14) (S 29,15,22) (S 45,28,29) (S 50,26,25) (S 40,23,24) (S 6,24,24) (S 2,11,11) (D 1,1,1)
0 1 2 1520 471.0 7 (D 1,1,1) (S 9,2,3) (S 1,3,3) (S 15,5,10) (S 4,15,15) (S 19,8,9) (D 1,1,1)
0 1 3 1489 440.0 6 (D 1,1,1) (S 8,1,6) (S 24,12,13) (S 27,13,17) (S 49,21,17) (D 1,1,1)
0 1 4 1515 513.0 7 (D 1,1,1) (S 17,6,11) (S 16,6,7) (S 10,2,7) (S 18,7,8) (S 11,3,4) (D 1,1,1)
0 1 5 1501 467.0 6 (D 1,1,1) (S 7,1,2) (S 46,8,13) (S 3,14,14) (S 20,9,10) (D 1,1,1)
0 1 6 1523 491.0 6 (D 1,1,1) (S 14,4,9) (S 21,9,14) (S 28,14,15) (S 22,10,15) (D 1,1,1)
0 1 7 1484 533.0 6 (D 1,1,1) (S 25,12,16) (S 31,16,19) (S 36,20,21) (S 38,21,28) (D 1,1,1)
0 1 8 1471 399.0 5 (D 1,1,1) (S 23,11,18) (S 33,18,23) (S 41,23,25) (D 1,1,1)
0 1 9 1535 650.0 6 (D 1,1,1) (S 13,4,5) (S 39,22,29) (S 5,22,22) (S 35,19,24) (D 1,1,1)
0 1 10 1394 636.0 6 (D 1,1,1) (S 47,11,12) (S 48,12,7) (S 32,18,19) (S 34,19,20) (D 1,1,1)
0 1 11 1220 554.0 5 (D 1,1,1) (S 30,16,17) (S 37,20,27) (S 44,27,28) (D 1,1,1)
0 1 12 922 435.0 4 (D 1,1,1) (S 42,24,26) (S 43,26,27) (D 1,1,1)
